goodbooks_id,isbn13,title,authors,year,language,average_rating,ratings_count,image_url,genre
23,9780439064870,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998,eng,4.37,1779331,https://images.gr-assets.com/books/1474169725m/15881.jpg,Fantasy
19,9780618346260,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954,eng,4.34,1766803,https://images.gr-assets.com/books/1298411339m/34.jpg,Fantasy
24,9780439139600,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000,eng,4.53,1753043,https://images.gr-assets.com/books/1361482611m/6.jpg,Fantasy
25,9780545010220,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007,eng,4.61,1746574,https://images.gr-assets.com/books/1474171184m/136251.jpg,Fantasy
21,9780439358070,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003,eng,4.46,1735368,https://images.gr-assets.com/books/1387141547m/2.jpg,Fantasy
20,9780439023510,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,eng,4.03,1719760,https://images.gr-assets.com/books/1358275419m/7260188.jpg,Young Adult
27,9780439785970,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005,eng,4.54,1678823,https://images.gr-assets.com/books/1361039191m/1.jpg,Fantasy
29,9780743477120,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595,eng,3.73,1628519,https://images.gr-assets.com/books/1327872146m/18135.jpg,Classics
22,9780316166680,The Lovely Bones,Alice Sebold,2002,eng,3.77,1605173,https://images.gr-assets.com/books/1457810586m/12232938.jpg,Fiction
28,9780140283330,Lord of the Flies,William Golding,1954,eng,3.64,1605019,https://images.gr-assets.com/books/1327869409m/7624.jpg,Classics
37,9780060764890,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,eng,4.19,1531800,https://images.gr-assets.com/books/1353029077m/100915.jpg,Fantasy
31,9780399155340,The Help,Kathryn Stockett,2009,eng,4.45,1531753,https://images.gr-assets.com/books/1346100365m/4667024.jpg,Fiction
32,9780142000670,Of Mice and Men,John Steinbeck,1937,eng,3.84,1467496,https://images.gr-assets.com/books/1437235233m/890.jpg,Classics
26,9780307277670,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003,eng,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg,Fiction
41,9780786838650,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005,eng,4.23,1366265,https://images.gr-assets.com/books/1400602609m/28187.jpg,Fantasy
34,9781612130290,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011,eng,3.67,1338493,https://images.gr-assets.com/books/1385207843m/10818853.jpg,Romance
39,9780553588480,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996,eng,4.45,1319204,https://images.gr-assets.com/books/1436732693m/13496.jpg,Fiction
33,9780739326220,Memoirs of a Geisha,Arthur Golden,1997,eng,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
35,9780061122420,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988,eng,3.82,1299566,https://images.gr-assets.com/books/1483412266m/865.jpg,Fiction
36,9780385732550,"The Giver (The Giver, #1)",Lois Lowry,1993,eng,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg,Children
42,9780451529300,"Little Women (Little Women, #1)",Louisa May Alcott,1868,en-US,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics
43,9780142437210,Jane Eyre,"Charlotte Brontë, Michael Mason",1847,eng,4.1,1198557,https://images.gr-assets.com/books/1327867269m/10210.jpg,Classics
40,9780143038410,"Eat, Pray, Love",Elizabeth Gilbert,2006,eng,3.51,1181647,https://images.gr-assets.com/books/1503066414m/19501.jpg,Non-fiction
47,9780375831000,The Book Thief,Markus Zusak,2005,eng,4.36,1159741,https://images.gr-assets.com/books/1390053681m/19063.jpg,History
51,9781416914280,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007,eng,4.12,1154031,https://images.gr-assets.com/books/1432730315m/256683.jpg,Young Adult
49,9780316160190,"New Moon (Twilight, #2)",Stephenie Meyer,2006,eng,3.52,1149630,https://images.gr-assets.com/books/1361039440m/49041.jpg,Young Adult
52,9780316160210,"Eclipse (Twilight, #3)",Stephenie Meyer,2007,en-US,3.69,1134511,https://images.gr-assets.com/books/1361038355m/428263.jpg,Young Adult
53,9780375826700,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002,en-US,3.86,1104021,https://images.gr-assets.com/books/1366212852m/113436.jpg,Fantasy
56,9780316067930,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008,en-US,3.7,1070245,https://images.gr-assets.com/books/1361039438m/1162543.jpg,Fantasy
46,9781565125600,Water for Elephants,Sara Gruen,2006,eng,4.07,1068146,https://images.gr-assets.com/books/1494428973m/43641.jpg,Fiction
59,9780064410940,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952,eng,4.15,1064521,https://images.gr-assets.com/books/1439632243m/24178.jpg,Classics
44,9780553816720,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996,eng,4.06,1053403,https://images.gr-assets.com/books/1385738917m/15931.jpg,Fiction
55,9780060929880,Brave New World,Aldous Huxley,1932,eng,3.97,1022601,https://images.gr-assets.com/books/1487389574m/5129.jpg,Classics
50,9780060513030,Where the Sidewalk Ends,Shel Silverstein,1974,eng,4.29,1016888,https://images.gr-assets.com/books/1168052448m/30119.jpg,Poetry & Drama
61,9781594633670,The Girl on the Train,Paula Hawkins,2015,eng,3.88,1008778,https://images.gr-assets.com/books/1490903702m/22557272.jpg,Mystery & Thriller
45,9780770430080,Life of Pi,Yann Martel,2001,eng,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg,Fantasy
62,9780679879240,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995,eng,3.94,953970,https://images.gr-assets.com/books/1451271747m/119322.jpg,Fantasy
58,9780142437180,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884,eng,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg,Classics
54,9780345391800,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979,en-US,4.2,936782,https://images.gr-assets.com/books/1327656754m/11.jpg,Science Fiction
57,9780142001740,The Secret Life of Bees,Sue Monk Kidd,2001,en-US,4.01,916189,https://images.gr-assets.com/books/1473454532m/37435.jpg,Fiction
63,9780393978900,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847,eng,3.82,899195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics
68,9780671027350,The Perks of Being a Wallflower,Stephen Chbosky,1999,eng,4.21,888806,https://images.gr-assets.com/books/1167352178m/22628.jpg,Fiction
66,9780446675540,Gone with the Wind,Margaret Mitchell,1936,eng,4.28,873981,https://images.gr-assets.com/books/1328025229m/18405.jpg,Classics
60,9781400032720,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003,eng,3.85,867553,https://images.gr-assets.com/books/1479863624m/1618.jpg,Fiction
64,9780743454540,My Sister's Keeper,Jodi Picoult,2004,eng,4.06,863879,https://images.gr-assets.com/books/1369504683m/10917.jpg,Fiction
65,9780385333850,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969,eng,4.06,846488,https://images.gr-assets.com/books/1440319389m/4981.jpg,Classics
69,9780007442910,"Insurgent (Divergent, #2)",Veronica Roth,2012,eng,4.07,836362,https://images.gr-assets.com/books/1325667729m/11735983.jpg,Young Adult
67,9781594489500,A Thousand Splendid Suns,Khaled Hosseini,2007,eng,4.34,818742,https://images.gr-assets.com/books/1345958969m/128029.jpg,Fiction
70,9780812550700,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985,eng,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg,Science Fiction
71,9780141439470,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,eng,3.75,808589,https://images.gr-assets.com/books/1381512375m/18490.jpg,Classics
72,9780450040180,The Shining (The Shining #1),Stephen King,1977,eng,4.17,791850,https://images.gr-assets.com/books/1353277730m/11588.jpg,Fiction
74,9780142402510,Looking for Alaska,John Green,2005,eng,4.09,783470,https://images.gr-assets.com/books/1394798630m/99561.jpg,Young Adult
73,9780316068050,"The Host (The Host, #1)",Stephenie Meyer,2008,en-US,3.84,749780,https://images.gr-assets.com/books/1318009171m/1656001.jpg,Science Fiction
77,9780439244190,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998,eng,3.93,747445,https://images.gr-assets.com/books/1327781893m/38709.jpg,Young Adult
38,9780965818670,The Time Traveler's Wife,Audrey Niffenegger,2003,eng,3.95,746287,https://images.gr-assets.com/books/1437728815m/14050.jpg,Fiction
76,9780141439660,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811,eng,4.06,738894,https://images.gr-assets.com/books/1397245675m/14935.jpg,Fiction
80,9780156012200,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,eng,4.28,738757,https://images.gr-assets.com/books/1367545443m/157993.jpg,Fantasy
91,9780385737940,"The Maze Runner (Maze Runner, #1)",James Dashner,2009,eng,4.02,719925,https://images.gr-assets.com/books/1375596592m/6186357.jpg,Young Adult
85,9780060256650,The Giving Tree,Shel Silverstein,1964,eng,4.38,702332,https://images.gr-assets.com/books/1174210942m/370493.jpg,Children
87,9780374500020,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958,eng,4.3,691231,https://images.gr-assets.com/books/1473495285m/1617.jpg,Non-fiction
79,9780143039950,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,eng,3.73,670326,https://images.gr-assets.com/books/1390173285m/1381.jpg,Classics
78,9780307275550,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003,eng,3.7,665930,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
90,9780140385720,The Outsiders,S.E. Hinton,1967,en-US,4.06,659248,https://images.gr-assets.com/books/1442129426m/231804.jpg,Fiction
82,9780385486800,Into the Wild,Jon Krakauer,1996,eng,3.94,647684,https://images.gr-assets.com/books/1403173986m/1845.jpg,Non-fiction
93,9780517189600,The Secret Garden,Frances Hodgson Burnett,1911,eng,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg,Classics
83,9780141439600,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,eng,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg,Classics
89,9780345418260,The Princess Bride,William Goldman,1973,en-US,4.25,628637,https://images.gr-assets.com/books/1327903636m/21787.jpg,Young Adult
81,9780743247540,The Glass Castle,Jeannette Walls,2005,eng,4.24,621099,https://images.gr-assets.com/books/1400930557m/7445.jpg,Non-fiction
102,9780099408390,Where the Wild Things Are,Maurice Sendak,1963,eng,4.22,620618,https://images.gr-assets.com/books/1384434560m/19543.jpg,Children
97,9780393970130,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897,eng,3.98,618973,https://images.gr-assets.com/books/1387151694m/17245.jpg,Classics
117,9780440498060,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962,en-US,4.04,615907,https://images.gr-assets.com/books/1329061522m/18131.jpg,Fantasy
139,9781594744760,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,2011,en-US,3.89,613674,https://images.gr-assets.com/books/1472782916m/9460487.jpg,Fantasy
119,9780385490820,The Handmaid's Tale,Margaret Atwood,1985,eng,4.06,607889,https://images.gr-assets.com/books/1498057733m/38447.jpg,Fiction
86,9780385338610,A Time to Kill,John Grisham,1989,eng,4.03,597775,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
134,9781416914300,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009,en-US,4.34,593173,https://images.gr-assets.com/books/1369452339m/3777732.jpg,Fantasy
95,9780375751520,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891,eng,4.06,590014,https://images.gr-assets.com/books/1424596966m/5297.jpg,Classics
112,9780670026610,"Me Before You (Me Before You, #1)",Jojo Moyes,2012,eng,4.27,587647,https://images.gr-assets.com/books/1357108762m/15507958.jpg,Romance
48,9780307347980,Fahrenheit 451,Ray Bradbury,1953,spa,3.97,570498,https://images.gr-assets.com/books/1351643740m/4381.jpg,Classics
98,9780307269980,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",2006,eng,4.22,563994,https://images.gr-assets.com/books/1351778881m/5060378.jpg,Fiction
113,9780684833390,Catch-22,Joseph Heller,1961,en-US,3.98,563265,https://images.gr-assets.com/books/1463157317m/168668.jpg,Classics
128,9781451648540,Steve Jobs,Walter Isaacson,2011,eng,4.09,560715,https://images.gr-assets.com/books/1327861368m/11084145.jpg,Biography & Memoir
114,9780751529810,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997,eng,4.06,556518,https://images.gr-assets.com/books/1423763749m/6900.jpg,Non-fiction
103,9780140449270,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844,eng,4.21,555822,https://images.gr-assets.com/books/1309203605m/7126.jpg,Classics
116,9780143039560,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876,eng,3.89,555359,https://images.gr-assets.com/books/1404811979m/24583.jpg,Classics
99,9781612130580,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011,eng,3.87,552059,https://images.gr-assets.com/books/1358266080m/11857408.jpg,Romance
107,9780446693810,A Walk to Remember,Nicholas Sparks,1999,en-US,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg,Poetry & Drama
100,9780060786500,The Poisonwood Bible,Barbara Kingsolver,1998,eng,4.02,546502,https://images.gr-assets.com/books/1412242487m/7244.jpg,History
108,9780440241420,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000,eng,3.61,543658,https://images.gr-assets.com/books/1327872404m/9416.jpg,Humor
120,9780385729340,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001,eng,3.75,525706,https://images.gr-assets.com/books/1461611233m/452306.jpg,Young Adult
92,9780061234000,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005,en-US,3.93,524191,https://images.gr-assets.com/books/1327909092m/1202.jpg,Non-fiction
110,9780553381700,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998,eng,4.4,523303,https://images.gr-assets.com/books/1358254974m/10572.jpg,Fantasy
130,9780684830490,The Old Man and the Sea,Ernest Hemingway,1952,eng,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg,Classics
125,9780521618750,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600,eng,4.0,515820,https://images.gr-assets.com/books/1351051208m/1420.jpg,Classics
137,9780440242950,"Outlander (Outlander, #1)",Diana Gabaldon,1991,eng,4.2,515547,https://images.gr-assets.com/books/1402600310m/10964.jpg,History
118,9780143038090,The Joy Luck Club,Amy Tan,1989,eng,3.9,515090,https://images.gr-assets.com/books/1304978653m/7763.jpg,Classics
151,9780786856860,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006,eng,4.23,514932,https://images.gr-assets.com/books/1400602661m/28186.jpg,Fantasy
164,9781250012580,Eleanor & Park,Rainbow Rowell,2013,eng,4.11,514312,https://images.gr-assets.com/books/1341952742m/15745753.jpg,Young Adult
109,9780451525260,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,eng,4.14,513407,https://images.gr-assets.com/books/1411852091m/24280.jpg,Classics
30,9780297859380,Gone Girl,Gillian Flynn,2012,eng,4.03,512475,https://images.gr-assets.com/books/1339602131m/8442457.jpg,Mystery & Thriller
166,9780525423640,"Matched (Matched, #1)",Ally Condie,2010,eng,3.68,511815,https://images.gr-assets.com/books/1367706191m/7735333.jpg,Young Adult
124,9780316098340,Room,Emma Donoghue,2010,eng,4.03,511360,https://images.gr-assets.com/books/1344265419m/7937843.jpg,Fiction
138,9780142437260,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,eng,3.37,509883,https://images.gr-assets.com/books/1404810944m/12296.jpg,Classics
159,9781423101470,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008,eng,4.39,508214,https://images.gr-assets.com/books/1443142158m/2120932.jpg,Fantasy
122,9780060987110,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995,eng,3.52,506900,https://images.gr-assets.com/books/1437733293m/37442.jpg,Fiction
206,9780062059930,"The Selection (The Selection, #1)",Kiera Cass,2012,en-US,4.15,505340,https://images.gr-assets.com/books/1322103400m/10507293.jpg,Young Adult
104,9780307265430,The Road,Cormac McCarthy,2006,eng,3.95,504793,https://images.gr-assets.com/books/1439197219m/6288.jpg,Science Fiction
149,9780525421030,"If I Stay (If I Stay, #1)",Gayle Forman,2009,en-US,3.96,503527,https://images.gr-assets.com/books/1347462970m/4374400.jpg,Young Adult
133,9780451528830,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,eng,4.23,502247,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
111,9780143037150,The Memory Keeper's Daughter,Kim Edwards,2005,eng,3.64,501430,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
154,9780743477110,Macbeth,William Shakespeare,1606,eng,3.88,496018,https://images.gr-assets.com/books/1459795224m/8852.jpg,Poetry & Drama
101,9780349113910,Me Talk Pretty One Day,David Sedaris,2000,eng,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Humor
129,9780451163970,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,eng,4.18,491642,https://images.gr-assets.com/books/1485308778m/332613.jpg,Classics
183,9781416975860,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,eng,4.33,490890,https://images.gr-assets.com/books/1454962884m/7171637.jpg,Fantasy
94,9780060531040,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967,eng,4.04,490565,https://images.gr-assets.com/books/1327881361m/320.jpg,Classics
127,9780316346630,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,eng,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg,Non-fiction
123,9780582418270,"The Firm (Penguin Readers, Level 5)",John Grisham,1991,eng,3.99,488269,https://images.gr-assets.com/books/1418465200m/5358.jpg,Fiction
115,9780312422160,Middlesex,Jeffrey Eugenides,2002,en-US,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg,Fiction
144,9781400064170,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010,eng,4.4,487775,https://images.gr-assets.com/books/1327861115m/8664353.jpg,Non-fiction
126,9780340839940,Dune (Dune Chronicles #1),Frank Herbert,1965,eng,4.19,485032,https://images.gr-assets.com/books/1434908555m/234225.jpg,Science Fiction
135,9780553573430,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000,eng,4.54,469022,https://images.gr-assets.com/books/1497931121m/62291.jpg,Fantasy
148,9780452287020,Girl with a Pearl Earring,Tracy Chevalier,1999,eng,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg,History
136,9780060759960,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,en-US,3.79,465676,https://images.gr-assets.com/books/1408313524m/137791.jpg,Fiction
161,9780345339740,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955,en-US,4.51,463959,https://images.gr-assets.com/books/1389977161m/18512.jpg,Fantasy
147,9781595141710,Thirteen Reasons Why,Jay Asher,2007,eng,4.02,463783,https://images.gr-assets.com/books/1333822506m/1217100.jpg,Young Adult
105,9780007524270,"Allegiant (Divergent, #3)",Veronica Roth,2013,eng,3.63,463257,https://images.gr-assets.com/books/1395582745m/18710190.jpg,Young Adult
142,9780451207140,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989,eng,4.29,462517,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,History
88,9780142414930,Paper Towns,John Green,2008,en-US,3.88,461311,https://images.gr-assets.com/books/1349013610m/6442769.jpg,Young Adult
171,9780141439590,Emma,"Jane Austen, Fiona Stafford",1815,eng,3.99,459826,https://images.gr-assets.com/books/1373627931m/6969.jpg,Classics
160,9780192833590,Great Expectations,Charles Dickens,1860,eng,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg,Classics
157,9780394800160,Green Eggs and Ham,"Dr. Seuss, לאה נאור",1960,en-US,4.29,457475,https://images.gr-assets.com/books/1468680100m/23772.jpg,Children
145,9780671027380,Deception Point,Dan Brown,2001,eng,3.67,455610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
158,9780142403880,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964,eng,4.1,453959,https://images.gr-assets.com/books/1309211401m/6310.jpg,Fiction
132,9781401308580,The Five People You Meet in Heaven,Mitch Albom,2003,eng,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fiction
187,9780689865380,"Uglies (Uglies, #1)",Scott Westerfeld,2005,eng,3.86,449073,https://images.gr-assets.com/books/1443904172m/24770.jpg,Young Adult
202,9781416989420,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009,en-US,4.0,448166,https://images.gr-assets.com/books/1358261334m/6339664.jpg,Young Adult
84,9780307348140,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990,spa,3.96,447833,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Science Fiction
214,9780141382890,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007,eng,4.33,446668,https://images.gr-assets.com/books/1361038385m/561456.jpg,Fantasy
140,9780307270000,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007,en-US,4.2,443951,https://images.gr-assets.com/books/1327708260m/6892870.jpg,Fiction
152,9780446528050,Dear John,Nicholas Sparks,2006,en-US,4.01,441062,https://images.gr-assets.com/books/1397749854m/5526.jpg,Romance
184,9780141301070,Matilda,"Roald Dahl, Quentin Blake",1988,eng,4.29,440743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Young Adult
168,9780385199580,The Stand,"Stephen King, Bernie Wrightson",1978,en-US,4.34,438832,https://images.gr-assets.com/books/1213131305m/149267.jpg,Horror
182,9780316042670,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",2009,eng,3.76,436093,https://images.gr-assets.com/books/1327873282m/6304335.jpg,Young Adult
173,9780393312840,A Clockwork Orange,Anthony Burgess,1962,eng,3.98,431195,https://images.gr-assets.com/books/1348339306m/227463.jpg,Science Fiction
185,9780385534640,The Night Circus,Erin Morgenstern,2011,eng,4.03,429543,https://images.gr-assets.com/books/1387124618m/9361589.jpg,Fantasy
165,9780553582020,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005,en-US,4.1,428186,https://images.gr-assets.com/books/1429538615m/13497.jpg,Fantasy
252,9780312641890,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,eng,4.15,427663,https://images.gr-assets.com/books/1470056948m/11235712.jpg,Young Adult
150,9780312353770,The Red Tent,Anita Diamant,1997,en-US,4.16,424981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,History
169,9780446547570,The Last Song,Nicholas Sparks,2008,en-GB,4.14,424637,https://images.gr-assets.com/books/1286549186m/6400090.jpg,Romance
